N,name,price,url,pages,size1,size2,size3,weight,cover,year,"description"
11,Мадьярские отравительницы. История деревни женщин-убийц,741.0,https://www.chitai-gorod.ru/product/madyarskie-otravitelnicy-istoriya-derevni-zhenshchin-ubiyc-3028241,448.0,2.8,13.3,20.7,430,Твёрдый переплёт,2024.0,"Самые масштабные серийные убийства, совершенные женщинами, произошли в тихой венгерской деревушке после Первой мировой войны. Жужанна Фазекаш, местная повитуха, умело извлекала мышьяк из липучки для мух и предлагала женщинам избавиться от мужчин, ставших обузой после возвращения с войны. Вначале те использовали яд тетушки Жужи, чтобы освободиться от жестоких супругов, но постепенно смелели. Больные старики, нежеланные дети, провинившиеся мужья — все становились жертвами яда из-за домашнего насилия, нищеты или желания получить наследство.
Вскрылись преступления лишь в 1929 году, когда в преступную авантюру повитухой были втянуты уже несколько десятков женщин, отравления мужчин стали обыденностью, а число только доказанных жертв достигало 50 человек… Захватывающая и художественная, книга рассказывает, на какие злодеяния толкает женщин безысходность, и как эти преступления длиной в полтора десятилетия стали известны на весь мир."
12,Фрэнк Синатра простудился и другие истории,878.0,https://www.chitai-gorod.ru/product/frenk-sinatra-prostudilsya-i-drugie-istorii-3050026,352.0,2.7,14.0,21.0,320,Мягкий переплёт,2024.0,"Однажды Гэй Тализ приехал брать интервью у Фрэнка Синатры, но из-за простуды певец поговорить с ним не смог. Тогда журналист пообщался с множеством знакомых Синатры и сдал в «Esquire» ставший легендарным очерк, название которого вынесено в заглавие этого сборника. Тализ — икона американской журналистики 1960-х – 1970-х годов, он задал золотой стандарт репортерской работы на десятилетия вперед. В своих текстах для «Esquire», «The New Yorker» и «The New York Times» Тализ вывел на принципиально новый уровень искусство написания статей и с фотографической точностью запечатлел эпоху бурных перемен. В первый сборник Гэя Тализа на русском языке вошли знаковые очерки и репортажи, написанные на протяжении полувека: с 1960-х по 2010-е. Мировые знаменитости в диапазоне от Синатры до Леди Гаги, мафиози «коза ностры», коллеги-журналисты с их неуемным зудом писать – о ком бы ни рассказывал Тализ, он пишет степенно и размашисто, создавая обстоятельную и яркую хронику человеческой жизни."
13,Пять эссе на темы этики,308.0,https://www.chitai-gorod.ru/product/pyat-esse-na-temy-etiki-3046853,160.0,1.1,11.5,18.0,110,Мягкий переплёт,2024.0,"В российской традиции нацизм зовется ""фашизмом"". Умберто Эко, культуролог, публицист и философ, не оспаривает терминологический разнобой. Наоборот, в ключевом эссе сборника он выделяет общие принципы для разных тоталитарных режимов и помогает заново осмыслить корни того, что называет ""вечным фашизмом"" в его исторических и, увы, современных проявлениях. Эта подборка эссе дает повод к размышлениям о ненависти, о войне, о религии — размышлениям, объединяющим тех, кому мир небезразличен, тех, кто сознает, что победа разума над регрессом никогда не окончательна и что внутренняя работа для каждого из нас всегда обязательна. Мораль ли, этика, совесть ли, нравственность, гражданственность — различие опять же только в терминах. Суть же одна: уроки истории полезны, лишь если люди не ленятся обдумывать их. А умственный труд бок о бок с Эко обычно не в тягость, беседа с ним — и радость, и развлечение."
14,Камера хранения,554.0,https://www.chitai-gorod.ru/product/kamera-hraneniya-3041278,272.0,2.0,13.3,17.0,310,Твёрдый переплёт,2024.0,"Нюта Федермессер — известный российский общественный деятель, учредитель Благотворительного фонда помощи хосписам «Вера», на- званного в честь ее мамы, врача Веры Васильевны Миллионщиковой, одной из основателей хосписного движения в России. Уже почти два десятилетия Нюта записывает все, что успевает за- фиксировать из безумного списка событий и встреч, чтобы однажды остановиться, вернуться, перечитать, чтобы сохранить память. В книге «Камера хранения» собраны крохотные рассказы: заметки на полях, выдержки из дневника, попытки передачи сильных эмоций, записи собственных размышлений и воспоминаний, сны, мечты, путе- вые записки — о том, что близко и важно всем нам: о любви и печали, о накопившейся боли, о доброте и радости, о причинах своего раздра- жения и усталости, о счастье, о горечи разлук, о связи родителей и де- тей, о вере, нежности и сострадании."
15,Громкие дела: Преступления и наказания в СССР,594.0,https://www.chitai-gorod.ru/product/gromkie-dela-prestupleniya-i-nakazaniya-v-sssr-2970505,278.0,1.8,14.0,21.0,430,Мягкий переплёт,2023.0,"Книга о самых громких уголовных делах советской эпохи. Многие материалы ранее не публиковались и были впервые выданы из архивов лично автору. Благодаря доступу к этим документам и общению с очевидцами Еве Меркачёвой удалось восстановить картины судебных процессов над последним казненным в СССР — маньяком Фишером, над единственным расстрелянным в советское время ребенком Аркадием Нейландом, над палачом Антониной Макаровой по прозвищу Тонька-пулеметчица, над Бертой Бородкиной, накрывавшей столы самому Леониду Брежневу — единственной приговоренной к высшей мере по экономической статье. Перекинуть мостик в прошлое не только интересно и познавательно, но и полезно для осознания тех процессов, что происходят в судебной практике сегодня. К каждой главе прилагаются архивные иллюстрации из уголовных дел и материалов судов — они дают читателю возможность погрузиться в атмосферу описываемых событий и своими глазами увидеть подлинные протоколы допросов, рукописные приговоры, справки об исполнении смертной казни и то, как выглядели тома дел, жертвы, преступники и места преступлений. Завершает книгу единственное досоветское дело «царицы воровского мира» Соньки Золотой Ручки, с которого начался интерес автора к теме судебных расследований."
16,"Война против России. Окончательное решение ""русского вопроса""",787.0,https://www.chitai-gorod.ru/product/voyna-protiv-rossii-okonchatelnoe-reshenie-russkogo-voprosa-2964182,224.0,1.5,13.0,20.5,250,Твёрдый переплёт,2024.0,"НОВАЯ КНИГА известного военно-политического эксперта, бывшего руководителя израильской спецслужбы «Натив» Якова Кедми посвящена войне на уничтожение, которую коллективный Запад ведет против России, и ее историческим корням.
Почему нацизм — это порождение Запада, а Великая Отечественная была лишь первой войной, направленной на уничтожение нашей страны? Почему Нюрнбергский процесс стал дешевой комедией и как на самом деле Советским Союзом была «оккупирована» Прибалтика? Кто из стран нынешнего Европейского союза был верным союзником Гитлера? На эти и многие другие вопросы Яков Кедми подробно отвечает в своей новой работе.
«Западный мир давно ведет против России войну, стремясь уничтожить ее цивилизацию и культуру. Последний этап этой войны начался не в 1990 году, как многие думают, а в далеком 1941-м. Сейчас противостояние вышло на новую стадию и русские объявлены вне закона. Уничтожение России и русских — именно такая цель стоит перед Европой и всем коллективным Западом…»"
17,Прогулки с Пушкиным,787.0,https://www.chitai-gorod.ru/product/progulki-s-pushkinym-3040420,282.0,1.8,13.3,20.7,300,Твёрдый переплёт,2024.0,"“Абрам Терц — литературный псевдоним Андрея Донатовича Синявского (1925–1997), филолога, научного сотрудника ИМЛИ в Москве и профессора Сорбонны в Париже, автора книг “В тени Гоголя”, “Спокойной ночи”, “Голос из хора”, “Иван-дурак”, повести “Любимов” и романа “Кошкин дом”.
“Прогулки с Пушкиным” — самая известная, вызвавшая наибольшее количество споров книга Андрея Синявского, которую он написал во время заключения в Дубровлаге. В книгу также вошли эссе “Путешествие на Черную речку” и письмо-ответ А.И.Солженицыну “Чтение в сердцах”, опубликованные в журнале “Синтаксис”.
Предисловие Александра Гениса.
В оформлении книги использован рисунок Михаила Шемякина.

“Прогулки с Пушкиным” — это лирическая проза писателя Абрама Терца, в которой я по-своему пытаюсь объясниться в любви к Пушкину и высказать благодарность его тени, спасавшей меня в лагере.
Андрей Синявский

Чтобы оказаться на дружеской ноге с Пушкиным, Терц отложил в сторону традицию, не озаботился сносками, почти упразднил полемику, презрел терминологию и писал с лапидарной точностью и поэтической вольностью. При этом автор искусно и решительно исключил из текста “Я”, но не интимный тон, с которым никто никогда еще не разговаривал с Пушкиным.
Александр Генис"
18,Тед Банди. Полная история самого обаятельного серийного убийцы,715.0,https://www.chitai-gorod.ru/product/ted-bandi-polnaya-istoriya-samogo-obayatelnogo-seriynogo-ubiycy-3054271,320.0,2.0,12.8,20.5,320,Твёрдый переплёт,2024.0,"Тед Банди был умным, обаятельным и красивым мужчиной с многообещающим будущим адвоката. Везде, где бы он ни оказывался, он легко очаровывал людей. Его невеста Элизабет была от него без ума — как и ее маленькая дочка, — и желала создать с ним семью. Но никто не догадывался, что вместо учебы на юридическом факультете Банди разъезжал по окрестным штатам в поисках будущих жертв… и, мастерски перевоплощаясь, убил свыше 30 девушек. Даже на суде он не признался в своих преступлениях — в итоге поведав о них знаменитому профайлеру Роберту Кеппелу только накануне своей казни.

Эта книга, основанная на уникальных материалах — воспоминаниях его невесты, десятках личных часов бесед с самим Банди, и документах по его делу, — раскрывает подробности, неизвестные прежде. Почему следователи по делу Убийцы с Грин-Ривер обращались к Банди за консультацией и чем он им помог? Как ему удавалось годами уходить от правосудия и дважды сбежать из тюрьмы? Что он делал с телами убитых девушек? Сотрудничала ли его невеста с полицией? Увлекательная и шокирующая, эта книга впервые рассказывает полную историю маньяка-некрофила, ставшего синонимом серийного убийства."
19,Один и ОК. Как мы учимся быть сами по себе,690.0,https://www.chitai-gorod.ru/product/odin-i-ok-kak-my-uchimsya-byt-sami-po-sebe-3041052,160.0,1.3,13.0,18.5,130,Мягкий переплёт,2024.0,"В современном обществе доминирует идея индивидуализма, но одиночество при этом часто воспринимается как личный провал. Мы обнаруживаем в себе стремление одновременно и к свободе, и к близости, что наглядно показал опыт изоляции во время пандемии. В своих эссе немецкий писатель и журналист Даниэль Шрайбер всматривается в этот кажущийся парадокс, обращаясь к трудам философов (от Аристотеля и Мишеля Фуко до Ханны Арендт и Жиля Делеза), художественной литературе (от Джейн Остин до Анни Эрно), актуальным исследованиям практикующих психотерапевтов и даже к популярным ситкомам. И приходит к дарящей надежду мысли, что выстраивание иерархий из моделей жизни, возможно, — не самая удачная идея и слову «одиночество» соответствуют не только темные тона."
20,К северу от 38 параллели: Как живут в КНДР,840.0,https://www.chitai-gorod.ru/product/k-severu-ot-38-paralleli-kak-zhivut-v-kndr-3032017,538.0,3.1,14.0,21.0,540,Мягкий переплёт,2024.0,"Северная Корея, все еще невероятно засекреченная, перестает быть для мира «черным ящиком». Похоже, радикальный социальный эксперимент, который был начат там в 1940-х годах, подходит к концу. А за ним стоят судьбы людей — бесчисленное количество жизней. О том, как эти жизни были прожиты и что происходит в стране сейчас, рассказывает известный востоковед и публицист Андрей Ланьков.
""Разрешения на частную поездку выдаются при наличии уважительной причины — похороны или свадьба близкого родственника, например, или по официальному приглашению. В стандартном разрешении на проезд указываются имя владельца, место работы, цель поездки, пункт назначения и срок действия документа.""
Автору неоднократно доводилось бывать в Северной Корее и общаться с людьми из самых разных слоев общества. Это сотрудники госбезопасности и контрабандисты, северокорейские новые богатые и перебежчики, интеллектуалы (которыми быть вроде бы престижно, но все еще опасно) и шоферы (которыми быть и безопасно, и по-прежнему престижно).
Книга рассказывает о технологиях (от экзотических газогенераторных двигателей до северокорейского интернета) и монументах вождям, о домах и поездах, о голоде и деликатесах — о повседневной жизни северокорейцев, их заботах, тревогах и радостях. О том, как кндр постепенно и неохотно открывается миру."
21,Дневник добровольца,627.0,https://www.chitai-gorod.ru/product/dnevnik-dobrovolca-3031689,288.0,2.4,12.8,20.5,310,Твёрдый переплёт,2024.0,"«Дневник добровольца» Дмитрия Артиса — история человека, ушедшего добровольцем на СВО, настоящего чернорабочего воинского дела, который увидел и записал пережитое. Помимо всего прочего, эта книга еще и самоучитель того, как выжить во время ожесточенных боевых действий.
«Дюжина выверенных портретов, если вам интересно узнать, кто воюет на этой войне. Две дюжины точно подслушанных диалогов, если вам интересно узнать, о чем думают и говорят на этой войне. Россыпь мелких наблюдений. А все вместе — история», — так сказал о «Дневнике добровольца» Захар Прилепин."
22,"Вейджер. История о кораблекрушении, мятеже и убийстве",715.0,https://www.chitai-gorod.ru/product/veydzher-istoriya-o-korablekrushenii-myatezhe-i-ubiystve-3058782,352.0,2,12.5,20.0,10,Твёрдый переплёт,2024.0,"1740 год, Британия. Корабль Его Величества «Вейджер» отправляется в погоню за испанским галеоном. На борту — 250 здоровых крепких мужчин. 1742 год, Бразилия. К берегу причаливает самодельная лодка с остатками команды «Вейджера» — 30 полумертвых истощенных моряков, которые пережили цингу, кораблекрушение, смогли добраться до необитаемого острова, выжили и вернулись назад. Родина встретила их как героев. Про них писали газеты, каждый получил материальную компенсацию. А еще через четыре года… из ада вернулись еще три члена команды «Вейджера» — капитан и два его помощника, которых уже несколько лет считали мертвыми. И их версия случившего шокировала всех... Британские власти решили созвать военный трибунал, — определить, что на самом деле произошло, — и виновного будет ждать смертный приговор... Кинематографичная и захватывающая, книга Дэвида Гранна «Вейджер» — это история одного плавания, в котором все пошло наперекосяк; это сага о том, как тяжелые условия на грани выживания могут лишить человеческого облика, толкнуть на предательство... и даже убийство."
23,Манипуляция сознанием,1248.0,https://www.chitai-gorod.ru/product/manipulyaciya-soznaniem-2701444,432.0,2.4,14.7,21.6,500,Твёрдый переплёт,2023.0,"""Манипуляция сознанием"" - бестселлер российского публициста и социолога Сергея Георгиевича Кара-Мурзы. Она выдержала несколько изданий, входит в десятку самых популярных публицистических книг согласно рейтингу Zeitgeist, включена в учебные курсы по социологии. В этой книге Сергей Кара-Мурза выявляет устройство всей машины манипуляции общественным сознанием как технологии господства и говорит о причинах уязвимости России перед этими манипулятивными методами. Для нашей страны, доказывает он, сдаться на милость манипуляторов означает смену культуры, мышления и языка. Принять новый тип власти над человеком или строить защиту от манипуляций - вопрос выбора исторической судьбы, а может быть - и существования русского народа."
24,"#MeToo. Расследование, уничтожившее Харви Вайнштейна",116.0,https://www.chitai-gorod.ru/product/metoo-rassledovanie-unichtozhivshee-harvi-vaynshteyna-2822797,384.0,2.1,13.0,20.5,360,Твёрдый переплёт,2020.0,"В 2017 году в ""Нью-Йорк таймс"" вышла статья о продюсере Харви Вайнштейне, в которой освещались систематические случаи выплат денег жертвам его сексуальных домогательств. Статья произвела эффект разорвавшейся бомбы — десятки голливудских актрис и других сотрудниц киностудии ""Мирамакс"" начали говорить открыто о случаях харассмента. Расследование положило начало движению #MeToo: Америка, а за ней и весь мир, осознала, что харассмент — глобальная проблема, пронизывающая все сферы общества, а Вайнштейн, который еще вчера был самым влиятельным человеком Голливуда, был приговорён к 23 годам тюремного заключения.
Журналистки Джоди Кантор и Меган Тухи, написавшие сенсационную статью, рассказывают, как проходило их расследование. Как выявлялись случаи домогательств, положившие конец карьере многих женщин; как тяжело было уговорить голливудских актрис поделиться своей историей; и как Вайнштейн саботировал их работу, нанимая юристов и шпионов. Почти детективная, эта книга мгновенно стала образцом безупречного журналистского расследования и изменила ход современной истории."
